,CustomerID,Recency,Frequency,Monetary,Cluster
0,12347.0,2,7,3243.33,2
1,12348.0,249,3,90.2,0
2,12349.0,19,1,918.0999999999998,0
3,12350.0,310,1,294.40000000000003,0
4,12352.0,36,7,986.3399999999998,0
5,12353.0,204,1,29.300000000000004,0
6,12354.0,232,1,664.84,0
7,12355.0,214,1,219.0,0
8,12356.0,246,2,919.76,0
9,12357.0,33,1,2827.66,2
10,12358.0,2,2,92.82,0
11,12359.0,58,4,2739.6800000000003,2
12,12360.0,52,3,1843.16,0
13,12361.0,287,1,174.89999999999998,0
14,12362.0,3,10,3926.3900000000003,2
15,12363.0,110,2,484.5,0
16,12364.0,8,3,1106.28,0
17,12365.0,291,1,307.94,0
18,12367.0,4,1,138.29999999999998,0
19,12370.0,51,4,2497.41,2
20,12371.0,60,1,1243.91,0
21,12372.0,72,3,938.34,0
22,12373.0,311,1,299.1,0
23,12374.0,25,1,531.7299999999999,0
24,12375.0,11,2,283.3,0
25,12377.0,315,2,1472.52,0
26,12378.0,130,1,3246.09,2
27,12379.0,82,2,660.2399999999998,0
28,12380.0,22,4,1655.55,0
29,12381.0,5,4,1171.5600000000002,0
30,12383.0,185,5,1211.84,0
31,12384.0,29,2,225.62,0
32,12386.0,367,1,117.3,0
33,12388.0,16,6,2314.9,2
34,12390.0,80,1,407.74000000000007,0
35,12391.0,22,1,399.93,0
36,12393.0,72,4,1193.4999999999998,0
37,12394.0,217,1,331.18,0
38,12395.0,19,12,1820.1700000000003,0
39,12397.0,36,2,1677.16,0
40,12398.0,46,1,1273.2400000000002,0
41,12399.0,119,4,729.1500000000001,0
42,12401.0,303,1,15.0,0
43,12402.0,323,1,195.6,0
44,12403.0,50,1,92.9,0
45,12405.0,149,1,1033.47,0
46,12406.0,22,2,2733.48,2
47,12407.0,50,5,983.1600000000001,0
48,12408.0,33,5,1869.47,0
49,12409.0,79,3,1217.1899999999998,0
50,12410.0,309,1,274.23,0
51,12412.0,75,3,1097.19,0
52,12413.0,67,3,491.65,0
53,12414.0,217,3,343.65000000000003,0
54,12415.0,37,10,2217.21,2
55,12417.0,3,9,1946.6499999999999,0
56,12418.0,113,1,418.16,0
57,12420.0,64,1,380.29999999999995,0
58,12421.0,16,4,518.32,0
59,12422.0,96,3,645.3099999999998,0
60,12423.0,1,8,1517.76,0
61,12424.0,163,2,682.8700000000001,0
62,12425.0,78,1,538.14,0
63,12426.0,195,1,433.38,0
64,12427.0,22,3,407.77000000000004,0
65,12428.0,26,8,4373.93,2
66,12429.0,9,4,2264.64,2
67,12430.0,43,1,168.6,0
68,12431.0,36,14,3232.05,2
69,12432.0,43,3,1566.48,0
70,12433.0,1,7,7350.82,2
71,12434.0,85,2,526.4399999999999,0
72,12435.0,268,1,78.0,0
73,12436.0,100,1,429.01,0
74,12437.0,2,18,2709.84,2
75,12438.0,14,2,1610.3199999999997,0
76,12441.0,367,1,155.55,0
77,12442.0,3,1,144.06,0
78,12444.0,21,5,2040.8599999999997,0
79,12445.0,22,1,77.4,0
80,12446.0,58,1,734.36,0
81,12447.0,243,1,379.78999999999996,0
82,12448.0,44,1,283.95000000000005,0
83,12449.0,22,4,2706.84,2
84,12450.0,156,2,131.88,0
85,12451.0,11,5,5692.26,2
86,12452.0,17,1,269.82,0
87,12453.0,134,1,644.3899999999999,0
88,12454.0,56,1,66.4,0
89,12455.0,73,5,1162.1599999999999,0
90,12456.0,44,3,1631.49,0
91,12457.0,86,2,941.0799999999999,0
92,12458.0,71,2,612.3800000000001,0
93,12461.0,155,1,387.73,0
94,12462.0,19,2,657.8000000000001,0
95,12463.0,53,4,1129.38,0
96,12464.0,150,4,76.5,0
97,12465.0,17,2,608.99,0
98,12468.0,188,2,562.49,0
99,12471.0,2,26,8565.88,2
100,12472.0,32,7,4995.280000000001,2
101,12473.0,54,3,2147.5499999999997,2
102,12474.0,17,18,6067.0,2
103,12475.0,54,1,504.19,0
104,12476.0,16,10,3247.88,2
105,12477.0,23,6,5340.490000000002,2
106,12478.0,4,1,449.2400000000001,0
107,12479.0,11,1,426.35,0
108,12480.0,28,4,2163.79,2
109,12481.0,23,10,3262.0,2
110,12483.0,17,7,1415.14,0
111,12484.0,35,4,3180.33,2
112,12488.0,10,3,871.1600000000001,0
113,12489.0,336,1,191.43000000000004,0
114,12490.0,5,10,4227.110000000001,2
115,12491.0,39,1,307.90000000000003,0
116,12492.0,63,2,227.21000000000004,0
117,12493.0,166,2,320.21,0
118,12494.0,16,7,901.75,0
119,12497.0,82,1,20.4,0
120,12498.0,21,3,314.0,0
121,12500.0,50,7,374.69,0
122,12501.0,337,1,1735.7600000000002,0
123,12502.0,96,5,1272.47,0
124,12504.0,30,1,60.0,0
125,12506.0,233,1,45.7,0
126,12507.0,134,3,388.75,0
127,12508.0,26,2,397.88,0
128,12509.0,284,1,124.5,0
129,12510.0,325,1,444.65,0
130,12512.0,66,2,118.28,0
131,12513.0,113,1,520.04,0
132,12514.0,267,1,630.8800000000001,0
133,12515.0,353,1,155.10000000000002,0
134,12516.0,78,2,270.48,0
135,12517.0,28,4,2128.25,2
136,12518.0,1,5,1750.09,0
137,12519.0,64,1,242.83999999999997,0
138,12520.0,79,5,1994.9100000000003,0
139,12521.0,143,1,499.03,0
140,12522.0,39,2,152.72000000000003,0
141,12523.0,19,11,1277.91,0
142,12524.0,9,8,1654.1100000000001,0
143,12526.0,1,3,1074.46,0
144,12527.0,82,3,296.71000000000004,0
145,12528.0,9,6,1047.23,0
146,12530.0,60,4,1033.5700000000002,0
147,12531.0,15,1,95.27,0
148,12532.0,30,1,297.33,0
149,12534.0,131,1,798.38,0
150,12535.0,92,2,577.8499999999999,0
151,12536.0,59,1,3553.0200000000004,2
152,12538.0,29,1,258.75,0
153,12539.0,22,4,3839.5,2
154,12540.0,20,17,7556.49,2
155,12541.0,30,3,700.5300000000001,0
156,12544.0,36,1,284.90000000000003,0
157,12545.0,75,2,698.8000000000001,0
158,12546.0,47,2,969.58,0
159,12547.0,198,2,151.8,0
160,12548.0,166,1,67.19999999999999,0
161,12550.0,79,1,661.9799999999998,0
162,12551.0,358,1,168.0,0
163,12552.0,40,1,146.72,0
164,12553.0,8,10,2844.45,2
165,12556.0,50,2,468.40999999999997,0
166,12558.0,8,1,195.07999999999998,0
167,12559.0,320,1,301.40999999999997,0
168,12560.0,5,2,1746.1599999999999,0
169,12561.0,303,1,193.54999999999998,0
170,12562.0,8,7,2648.19,2
171,12564.0,261,1,318.29999999999995,0
172,12565.0,289,1,145.92000000000002,0
173,12566.0,86,1,222.13,0
174,12567.0,23,10,6359.28,2
175,12569.0,2,28,2633.29,2
176,12571.0,40,2,489.37,0
177,12572.0,9,2,608.6199999999999,0
178,12573.0,227,1,150.59,0
179,12574.0,316,1,162.54999999999998,0
180,12576.0,36,5,1225.31,0
181,12577.0,35,3,551.1999999999999,0
182,12578.0,21,2,2119.06,2
183,12579.0,78,1,329.12,0
184,12580.0,247,1,379.7,0
185,12581.0,40,1,169.76,0
186,12582.0,239,2,313.91999999999996,0
187,12583.0,3,15,5120.290000000001,2
188,12584.0,4,8,996.25,0
189,12585.0,234,2,1148.8499999999997,0
190,12586.0,17,1,173.84000000000003,0
191,12587.0,8,1,104.0,0
192,12588.0,39,1,79.65,0
193,12589.0,29,2,417.28000000000003,0
194,12590.0,211,1,539.76,0
195,12591.0,317,1,323.0999999999999,0
196,12592.0,92,2,350.6,0
197,12593.0,109,3,382.0999999999999,0
198,12594.0,47,8,2621.9300000000003,2
199,12596.0,51,2,288.27000000000004,0
200,12597.0,19,4,2423.7200000000003,2
201,12598.0,10,7,2040.9299999999998,0
202,12599.0,29,7,764.3800000000001,0
203,12600.0,29,9,568.2199999999998,0
204,12601.0,190,5,338.6599999999999,0
205,12602.0,59,1,129.22,0
206,12603.0,22,1,0.0,0
207,12604.0,79,2,236.17999999999995,0
208,12607.0,60,1,1490.26,0
209,12609.0,78,3,790.7600000000001,0
210,12610.0,23,4,1449.2900000000002,0
211,12611.0,52,1,888.82,0
212,12612.0,74,1,424.65000000000003,0
213,12613.0,57,4,2850.7,2
214,12614.0,278,1,179.25,0
215,12615.0,2,4,1415.89,0
216,12616.0,95,2,386.8,0
217,12617.0,29,1,333.08000000000004,0
218,12618.0,22,1,103.56,0
219,12619.0,16,8,681.02,0
220,12620.0,15,3,1092.64,0
221,12621.0,2,19,7554.58,2
222,12622.0,232,1,123.85,0
223,12623.0,276,1,269.1,0
224,12624.0,106,2,439.2299999999999,0
225,12625.0,212,2,1585.32,0
226,12626.0,23,9,4789.1900000000005,2
227,12627.0,11,6,3621.75,2
228,12628.0,4,3,629.76,0
229,12630.0,10,2,887.23,0
230,12631.0,57,1,360.3,0
231,12633.0,59,4,1367.44,0
232,12635.0,90,2,1357.6900000000003,0
233,12637.0,67,8,4962.79,2
234,12638.0,33,1,485.75000000000006,0
235,12639.0,239,1,325.3,0
236,12640.0,24,3,578.1800000000001,0
237,12641.0,115,1,128.9,0
238,12642.0,25,3,731.0699999999999,0
239,12643.0,221,2,73.28,0
240,12644.0,130,1,417.12,0
241,12645.0,34,4,1406.18,0
242,12646.0,5,2,838.1600000000001,0
243,12647.0,22,11,1688.67,0
244,12648.0,155,1,255.29999999999995,0
245,12649.0,107,3,513.05,0
246,12650.0,3,1,242.44,0
247,12651.0,335,1,96.15,0
248,12652.0,331,1,732.28,0
249,12653.0,149,2,752.81,0
250,12654.0,11,5,499.33,0
251,12656.0,17,5,1804.5,0
252,12657.0,11,3,623.0,0
253,12658.0,19,1,452.1,0
254,12659.0,30,1,45.6,0
255,12660.0,11,1,168.0,0
256,12662.0,1,11,3246.58,2
257,12664.0,59,4,406.80000000000007,0
258,12665.0,325,1,45.0,0
259,12667.0,58,1,410.23,0
260,12668.0,12,4,2546.9,2
261,12669.0,151,2,1319.92,0
262,12670.0,10,5,1980.3700000000001,0
263,12672.0,330,1,144.45,0
264,12673.0,5,2,504.62,0
265,12674.0,39,4,1289.5400000000002,0
266,12676.0,25,6,1031.3899999999999,0
267,12678.0,43,8,1359.8,0
268,12679.0,284,1,612.8599999999999,0
269,12680.0,1,4,736.9700000000001,0
270,12681.0,15,21,9352.75,2
271,12682.0,4,30,7168.490000000001,2
272,12683.0,4,14,5105.91,2
273,12684.0,8,6,1646.1899999999998,0
274,12685.0,28,6,2419.7999999999997,2
275,12686.0,372,1,71.14,0
276,12688.0,114,1,2594.9399999999996,2
277,12689.0,26,2,995.21,0
278,12690.0,206,1,186.10999999999999,0
279,12691.0,58,4,602.0,0
280,12693.0,127,4,440.81,0
281,12694.0,70,2,434.92,0
282,12695.0,7,4,253.91,0
283,12697.0,29,3,676.7099999999999,0
284,12700.0,8,4,3861.6400000000003,2
285,12701.0,80,2,638.95,0
286,12702.0,20,1,183.15000000000003,0
287,12703.0,71,1,265.55,0
288,12704.0,7,8,1025.6799999999998,0
289,12705.0,15,8,4871.1,2
290,12707.0,292,1,375.82000000000005,0
291,12708.0,30,10,2097.11,2
292,12709.0,15,14,4435.320000000001,2
293,12710.0,97,3,909.8200000000002,0
294,12712.0,29,13,1411.2300000000002,0
295,12713.0,1,1,722.8500000000001,0
296,12714.0,9,5,3531.7799999999997,2
297,12715.0,106,1,263.35999999999996,0
298,12716.0,4,2,912.9099999999999,0
299,12717.0,151,2,719.28,0
300,12718.0,71,1,164.5,0
301,12719.0,5,2,480.70000000000005,0
302,12720.0,3,25,4199.74,2
303,12721.0,32,6,2042.1399999999999,0
304,12722.0,115,2,699.1,0
305,12723.0,4,4,562.48,0
306,12724.0,5,4,893.0599999999998,0
307,12725.0,371,1,359.9,0
308,12726.0,28,7,1550.1,0
309,12727.0,11,7,2242.5200000000004,2
310,12728.0,71,4,565.33,0
311,12729.0,114,1,346.8100000000001,0
312,12731.0,24,10,5370.990000000001,2
313,12732.0,180,1,178.26000000000005,0
314,12733.0,234,1,242.10000000000005,0
315,12734.0,353,1,110.39999999999999,0
316,12735.0,315,2,339.37,0
317,12736.0,333,1,93.6,0
318,12738.0,372,1,110.4,0
319,12739.0,99,1,516.0000000000001,0
320,12740.0,64,1,344.79999999999995,0
321,12743.0,134,2,358.53,0
322,12744.0,56,4,3394.4300000000003,2
323,12747.0,2,11,1752.6100000000001,0
324,12748.0,1,195,18865.550000000003,1
325,12749.0,4,5,2498.4300000000003,2
326,12750.0,129,1,184.98,0
327,12752.0,81,1,568.52,0
328,12753.0,23,6,1578.2200000000003,0
329,12754.0,277,2,61.62,0
330,12755.0,281,1,1.65,0
331,12756.0,87,1,50.879999999999995,0
332,12757.0,16,7,3109.8,2
333,12758.0,117,2,1468.59,0
334,12759.0,52,3,1253.2900000000002,0
335,12762.0,8,2,1188.3000000000002,0
336,12763.0,369,1,320.08000000000004,0
337,12764.0,317,1,697.0300000000001,0
338,12766.0,4,7,5415.17,2
339,12769.0,239,1,689.9999999999999,0
340,12772.0,60,1,601.8200000000002,0
341,12775.0,17,5,937.1400000000002,0
342,12778.0,20,6,492.49,0
343,12779.0,38,7,2358.03,2
344,12781.0,64,2,594.5400000000001,0
345,12782.0,5,5,1674.02,0
346,12783.0,2,4,930.95,0
347,12784.0,15,1,435.21999999999997,0
348,12785.0,364,1,239.0,0
349,12787.0,10,3,356.26,0
350,12790.0,192,1,199.42000000000002,0
351,12792.0,257,1,329.59,0
352,12793.0,335,2,395.48,0
353,12794.0,53,2,777.6600000000001,0
354,12795.0,19,1,144.63,0
355,12797.0,366,1,134.73000000000002,0
356,12802.0,187,1,361.87999999999994,0
357,12808.0,37,3,445.7,0
358,12809.0,178,1,319.61,0
359,12811.0,262,2,416.55,0
360,12812.0,45,1,229.64,0
361,12815.0,148,2,580.5600000000001,0
362,12816.0,96,2,235.35000000000002,0
363,12817.0,281,1,126.03999999999999,0
364,12818.0,262,1,267.59999999999997,0
365,12820.0,3,4,923.62,0
366,12821.0,214,1,75.72,0
367,12822.0,71,2,716.28,0
368,12824.0,60,1,316.41999999999996,0
369,12826.0,3,7,1438.3,0
370,12827.0,6,3,430.15,0
371,12828.0,3,6,917.11,0
372,12829.0,337,1,15.0,0
373,12831.0,262,1,124.75,0
374,12832.0,32,2,318.93,0
375,12833.0,145,1,251.73000000000002,0
376,12834.0,283,1,177.28000000000003,0
377,12836.0,59,4,1272.77,0
378,12837.0,173,1,46.35000000000001,0
379,12838.0,34,2,569.35,0
380,12839.0,3,14,5057.37,2
381,12840.0,144,4,2679.17,2
382,12841.0,5,25,2979.0699999999997,2
383,12842.0,70,2,582.31,0
384,12843.0,160,7,1245.3400000000001,0
385,12844.0,29,2,244.81000000000006,0
386,12845.0,269,2,36.940000000000005,0
387,12847.0,22,1,601.0899999999999,0
388,12849.0,31,2,631.1899999999999,0
389,12851.0,97,1,104.91000000000001,0
390,12852.0,295,1,264.15,0
391,12853.0,135,5,917.7,0
392,12854.0,79,3,989.3499999999999,0
393,12855.0,373,1,38.1,0
394,12856.0,8,6,1948.1299999999999,0
395,12857.0,211,2,634.8,0
396,12863.0,52,1,109.2,0
397,12864.0,138,1,10.2,0
398,12865.0,26,2,1302.62,0
399,12866.0,283,1,344.92,0
400,12867.0,26,7,3637.29,2
401,12868.0,186,6,1483.1100000000001,0
402,12871.0,84,2,120.53999999999999,0
403,12872.0,327,2,477.37,0
404,12876.0,58,2,1100.8199999999997,0
405,12877.0,4,12,1331.21,0
406,12878.0,236,2,821.2399999999999,0
407,12879.0,45,3,220.66,0
408,12881.0,276,1,56.3,0
409,12883.0,25,4,378.67,0
410,12884.0,88,1,62.400000000000006,0
411,12885.0,63,3,977.22,0
412,12886.0,68,2,977.2099999999999,0
413,12888.0,214,2,187.92000000000002,0
414,12890.0,24,1,361.62999999999994,0
415,12893.0,31,1,176.54999999999998,0
416,12895.0,42,2,335.05,0
417,12897.0,205,2,100.50000000000001,0
418,12901.0,10,13,953.85,0
419,12902.0,265,1,87.78,0
420,12904.0,18,2,319.55999999999995,0
421,12906.0,12,5,987.62,0
422,12909.0,40,5,1004.58,0
423,12910.0,23,8,2297.0200000000004,2
424,12912.0,8,4,735.6600000000002,0
425,12913.0,5,5,887.3000000000001,0
426,12915.0,149,2,201.05,0
427,12916.0,139,4,1487.7,0
428,12919.0,8,6,980.7099999999999,0
429,12920.0,17,1,100.94,0
430,12921.0,9,37,12612.720000000001,1
431,12922.0,161,1,377.3,0
432,12923.0,64,1,146.96999999999997,0
433,12924.0,88,4,572.8,0
434,12925.0,5,2,636.1299999999999,0
435,12928.0,35,5,1693.7400000000002,0
436,12929.0,312,1,35.25,0
437,12930.0,78,2,344.76,0
438,12931.0,67,2,48.16,0
439,12933.0,24,3,453.57,0
440,12935.0,2,7,1832.8,0
441,12936.0,17,3,861.9000000000001,0
442,12937.0,15,4,1188.3700000000001,0
443,12938.0,26,1,100.22,0
444,12939.0,335,1,81.36,0
445,12940.0,55,2,502.11999999999995,0
446,12942.0,131,3,365.54999999999995,0
447,12944.0,36,2,519.81,0
448,12945.0,288,1,246.40000000000003,0
449,12947.0,144,5,1245.79,0
450,12948.0,16,7,1809.06,0
451,12949.0,31,8,3268.37,2
452,12950.0,8,2,284.2,0
453,12951.0,9,6,850.37,0
454,12952.0,6,4,983.06,0
455,12953.0,10,1,174.60000000000002,0
456,12955.0,1,11,3260.2599999999998,2
457,12956.0,306,1,68.72,0
458,12957.0,10,8,3441.59,2
459,12962.0,7,2,223.04000000000002,0
460,12963.0,8,8,1586.81,0
461,12965.0,89,1,451.15999999999997,0
462,12966.0,10,1,147.68,0
463,12967.0,358,2,452.20000000000005,0
464,12968.0,112,1,126.0,0
465,12970.0,7,4,291.19999999999993,0
466,12971.0,4,75,4786.73,2
467,12974.0,198,1,23.6,0
468,12976.0,212,1,303.6,0
469,12977.0,156,1,4.29,0
470,12981.0,30,2,372.2199999999999,0
471,12982.0,243,1,358.65,0
472,12984.0,19,1,97.5,0
473,12985.0,1,2,992.72,0
474,12987.0,74,2,332.15,0
475,12988.0,292,1,214.12,0
476,12989.0,3,9,922.27,0
477,12990.0,31,3,351.00000000000006,0
478,12991.0,23,2,366.05999999999995,0
479,12993.0,23,4,414.75999999999993,0
480,12994.0,4,3,746.82,0
481,12997.0,22,4,742.99,0
482,12999.0,205,2,273.78,0
483,13000.0,260,2,382.16,0
484,13001.0,4,12,4732.2,2
485,13002.0,318,1,110.99999999999999,0
486,13003.0,151,2,71.2,0
487,13004.0,12,17,4898.36,2
488,13005.0,174,2,305.45000000000005,0
489,13006.0,56,1,11.52,0
490,13008.0,323,1,229.47000000000003,0
491,13011.0,372,1,32.7,0
492,13012.0,9,7,1356.65,0
493,13013.0,1,13,3925.7500000000005,2
494,13014.0,11,10,1368.13,0
495,13015.0,53,5,2427.44,2
496,13016.0,73,3,668.8400000000001,0
497,13018.0,16,28,6289.870000000001,2
498,13021.0,4,9,1746.4600000000003,0
499,13023.0,64,2,409.31,0
500,13026.0,1,4,341.88,0
501,13028.0,23,2,613.4399999999999,0
502,13029.0,31,2,116.5,0
503,13030.0,11,2,496.5899999999999,0
504,13032.0,52,2,676.43,0
505,13033.0,357,1,172.7,0
506,13034.0,55,2,627.8199999999999,0
507,13035.0,74,2,349.20000000000005,0
508,13037.0,138,3,675.5200000000001,0
509,13038.0,80,3,811.6599999999999,0
510,13040.0,9,2,628.79,0
511,13043.0,273,1,139.7,0
512,13044.0,291,1,332.22,0
513,13045.0,99,1,305.28,0
514,13046.0,31,2,384.01,0
515,13047.0,32,9,2285.51,2
516,13048.0,14,4,1782.57,0
517,13049.0,64,2,433.68,0
518,13050.0,15,17,4433.379999999999,2
519,13052.0,212,1,197.65,0
520,13055.0,78,3,1018.5599999999998,0
521,13058.0,25,3,261.45,0
522,13059.0,250,1,85.65000000000002,0
523,13060.0,254,1,226.07999999999998,0
524,13061.0,72,1,148.56,0
525,13062.0,191,1,52.199999999999996,0
526,13064.0,13,4,748.6200000000001,0
527,13065.0,373,1,138.41,0
528,13066.0,24,2,334.35,0
529,13067.0,82,1,91.61,0
530,13069.0,1,24,3401.6899999999996,2
531,13070.0,192,1,228.8,0
532,13072.0,267,1,177.14999999999998,0
533,13075.0,130,1,477.21,0
534,13077.0,1,4,619.3599999999999,0
535,13078.0,3,26,5386.14,2
536,13079.0,4,3,65.4,0
537,13080.0,179,1,58.08,0
538,13081.0,12,11,16778.480000000003,1
539,13082.0,126,8,1153.56,0
540,13083.0,4,2,235.8,0
541,13085.0,158,2,217.67999999999998,0
542,13089.0,4,80,32918.58,1
543,13090.0,9,13,3573.46,2
544,13091.0,28,1,281.08000000000004,0
545,13092.0,71,5,230.91000000000003,0
546,13093.0,276,8,2196.62,2
547,13094.0,206,2,106.2,0
548,13095.0,71,1,60.48,0
549,13097.0,33,10,3441.4799999999996,2
550,13098.0,1,27,7445.380000000001,2
551,13101.0,234,1,65.5,0
552,13102.0,1,24,4876.89,2
553,13103.0,40,1,100.23999999999998,0
554,13104.0,3,4,570.48,0
555,13106.0,133,1,76.5,0
556,13107.0,44,4,930.4999999999999,0
557,13108.0,373,1,95.29999999999998,0
558,13109.0,60,2,705.65,0
559,13110.0,31,7,842.9200000000001,0
560,13113.0,1,24,2360.3900000000003,2
561,13115.0,12,4,1945.7600000000002,0
562,13116.0,138,1,237.74,0
563,13117.0,22,8,799.0000000000002,0
564,13118.0,20,5,915.6599999999997,0
565,13120.0,239,1,30.599999999999998,0
566,13121.0,269,1,260.35999999999996,0
567,13122.0,240,1,720.5,0
568,13124.0,90,3,2592.0299999999997,2
569,13126.0,5,8,1725.3200000000002,0
570,13127.0,78,1,259.16999999999996,0
571,13130.0,94,1,64.0,0
572,13131.0,23,3,604.3000000000001,0
573,13132.0,262,1,60.3,0
574,13133.0,274,2,79.94999999999999,0
575,13134.0,86,4,1354.84,0
576,13136.0,56,5,2265.31,2
577,13137.0,11,8,3381.8199999999997,2
578,13138.0,22,6,875.0900000000001,0
579,13139.0,16,7,2351.04,2
580,13140.0,108,3,324.87,0
581,13141.0,85,5,2117.73,2
582,13142.0,19,1,180.22,0
583,13144.0,333,1,47.2,0
584,13145.0,40,3,297.6,0
585,13146.0,26,1,228.91,0
586,13147.0,43,2,237.60000000000002,0
587,13148.0,29,11,2507.76,2
588,13149.0,14,4,1127.98,0
589,13151.0,296,1,724.07,0
590,13153.0,6,1,140.46,0
591,13155.0,33,4,825.21,0
592,13157.0,49,4,1435.4799999999998,0
